job_title,role,industry
Mechanical Maintenance – Btech / Diploma,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",FMCG / Foods / Beverage
 PHP Developer,Programming & Design,"IT-Software, Software Services"
Sr.consultant-power Distribution,Voice,Accounting / Finance
" Chinese, Spanish Language Expert (proofcheck Medical Content),",Journalist/Writer,"Medical, Healthcare, Hospitals"
 Hiring for Tech Sales_Inbound UK/ US Voice Process,Voice,"IT-Software, Software Services"
 SUPPORT Engineers (FEMALE CANDIDATES),Back Office/Web/Transaction Processing,"IT-Software, Software Services"
 MS SQL Developer : 0 - 2 Years (only MALE Candidates),Programming & Design,"IT-Software, Software Services"
 Machine Learning Engineer || Gurgaon/chandigarh Location,Programming & Design,"IT-Software, Software Services"
 Nurses,Medical Professional,"Internet, Ecommerce"
 Marketing Executive,Marketing,"IT-Software, Software Services"
HR Recruiter (volume Hiring),HR/ Recruitment / IR,BPO / Call Centre / ITES
 Java Full Stack Developer,Programming & Design,"IT-Software, Software Services"
 GM Finance- Export Import Company,Senior Management,"Export, Import"
 Content Writer,Content Development,"Advertising, PR, MR, Event Management"
 Job Opening for Sm/avp_credit Audit_mumbai,Senior Management,"Banking, Financial Services, Broking"
 iOS Game Developer,Programming & Design,"IT-Software, Software Services"
 Hiring: Executive-business Developer(seller Acquisition) On Contract,Retail Sales,"Internet, Ecommerce"
 Java/j2ee Application Developer,Programming & Design,"Banking, Financial Services, Broking"
" Accepting Application for Intership for Java, PHP, Web Design, Android",Programming & Design,"IT-Software, Software Services"
 Automation-Expert-Senior-Automation-Expert,Programming & Design,"IT-Software, Software Services"
 Product Manager- Marketing(consumer Durables),Institutional Sales,"Banking, Financial Services, Broking"
 Embedded Android Engineer,Programming & Design,"Semiconductors, Electronics"
 Inbound International BPO Voice Process-US Shift,Voice,"IT-Software, Software Services"
 Jr. Support Executives,Other,IT-Hardware & Networking
 Sales Executive,Retail Sales,"Industrial Products, Heavy Machinery"
 Recruitment Officer ,HR/ Recruitment / IR,"Recruitment, Staffing"
 Senior Principal Software Engineer,Programming & Design,"BPO, Call Centre, ITeS"
 Senior Branch Sales & Development Head - Agency - General Insurance,General Insurance,Insurance
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,Retail Sales,"Pharma, Biotech, Clinical Research"
 Urgent job Position For SAP MDG Functional Analyst- All Over India,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,Purchase/Material Management,"Industrial Products, Heavy Machinery"
 Java with AngularJS and Spring,Programming & Design,"IT-Software, Software Services"
 Manager- Admission,Other,"Education, Teaching, Training"
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,,"Education, Teaching, Training"
 Sales Head for It Consulting Company in Gurgaon,Retail Sales,"Recruitment, Staffing"
 Adeeba Group is Currently hiring for US Inbound Tech Process.,Voice,"IT-Software, Software Services"
 Mechanical Engineer Require For Shut Down,Production/Manufacturing/Maintenance,"Oil and Gas, Energy, Power, Infrastructure"
 CARE Specialist,Voice,"Printing, Packaging"
 Opening For Fresher,Voice,"BPO, Call Centre, ITeS"
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,Voice,"IT-Software, Software Services"
 Head of Maintenance,Senior Management,"Automobile, Auto Anciliary, Auto Components"
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",Programming & Design,"IT-Software, Software Services"
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,Corporate Sales,Insurance
Spring Boot,Programming & Design,IT-Software / Software Services
 Sr. Engineer Design (Mechanical),Engineering Design,"Strategy, Management Consulting Firms"
 Senior Manager Cost & Program Management,Purchase/Material Management,"Internet, Ecommerce"
 Manager Sales Commercial Segment,Retail Sales,"Real Estate, Property"
 Outbound Sales Executive,,Other
 US Tech Process,Voice,"IT-Software, Software Services"
" Community Manager,",Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways"
 Software Engineer- Mobile Applications - Android,Programming & Design,"IT-Software, Software Services"
 Hardware Board Design Engineer,Programming & Design,"IT-Software, Software Services"
 Corporate Head - Operations,Senior Management,"Security, Law Enforcement"
 HR Recruitment Executive,HR/ Recruitment / IR,"BPO, Call Centre, ITeS"
 Software Engineer Android,Programming & Design,"IT-Software, Software Services"
 Sales Coordinator,Retail Sales,"Retail, Wholesale"
 Ecommerce Executive,Voice,"BPO, Call Centre, ITeS"
 Team Lead / Dev Lead,Programming & Design,"IT-Software, Software Services"
 Andriod Developer,,"Media, Entertainment, Internet"
 Physics Teacher,Subject Teachers (TGT/PGT),"Education, Teaching, Training"
 Manager Sales &amp; Marketing,Institutional Sales,"Chemicals, PetroChemical, Plastic, Rubber"
 Design Engineer,Engineering Design,"IT-Software, Software Services"
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ,HR/ Recruitment / IR,"Recruitment, Staffing"
 Associate,Accounts,"Accounting, Finance"
 Receptionist (Female),,"Banking, Financial Services, Broking"
 Senior .NET Developer,Programming & Design,"IT-Software, Software Services"
 Sales Manager : School & Higher Academic Books,Corporate Sales,Publishing
 Supply Chain - Import Export Executive,Logistics,"Automobile, Auto Anciliary, Auto Components"
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi,Programming & Design,"IT-Software, Software Services"
